workout_id,member_id,workout_datetime,workout_type,duration_min,calories_burned,avg_heart_rate,satisfaction_rating,branch,workout_type_clean,workout_date,workout_month,day_of_week,hour_of_day,calories_per_min,join_date,age,gender,city,membership_type,height_cm,weight_kg,referral_source,is_student,gender_clean,city_clean,height_m,BMI,age_group,tenure_days
1,1,2023-08-16 22:00:00,Cardio,79.0,665.1,127.8,5.0,Corniche,Cardio,2023-08-16,2023-08-01,Wednesday,22,8.418987341772151,2023-04-13,26.0,Female,Sharjah,Basic,175.2,80.9,Social Media,1,Female,Sharjah,1.7519999999999998,26.356049707053653,26-35,125
2,1,2023-04-25 20:00:00,Strength,33.0,173.8,109.2,1.0,Marina Mall,Strength,2023-04-25,2023-04-01,Tuesday,20,5.266666666666667,2023-04-13,26.0,Female,Sharjah,Basic,175.2,80.9,Social Media,1,Female,Sharjah,1.7519999999999998,26.356049707053653,26-35,12
3,1,2023-11-14 10:00:00,Cardio,59.0,538.1,109.1,2.0,Marina Mall,Cardio,2023-11-14,2023-11-01,Tuesday,10,9.120338983050848,2023-04-13,26.0,Female,Sharjah,Basic,175.2,80.9,Social Media,1,Female,Sharjah,1.7519999999999998,26.356049707053653,26-35,215
4,1,2023-04-26 22:00:00,Cardio,57.0,446.4,105.0,2.0,Marina Mall,Cardio,2023-04-26,2023-04-01,Wednesday,22,7.8315789473684205,2023-04-13,26.0,Female,Sharjah,Basic,175.2,80.9,Social Media,1,Female,Sharjah,1.7519999999999998,26.356049707053653,26-35,13
5,1,2023-09-13 19:45:00,Strength,27.0,181.3,143.0,5.0,Downtown,Strength,2023-09-13,2023-09-01,Wednesday,19,6.714814814814815,2023-04-13,26.0,Female,Sharjah,Basic,175.2,80.9,Social Media,1,Female,Sharjah,1.7519999999999998,26.356049707053653,26-35,153
6,1,2023-12-31 19:15:00,Strength,64.0,437.7,102.8,3.0,Corniche,Strength,2023-12-31,2023-12-01,Sunday,19,6.8390625,2023-04-13,26.0,Female,Sharjah,Basic,175.2,80.9,Social Media,1,Female,Sharjah,1.7519999999999998,26.356049707053653,26-35,262
7,1,2023-12-01 19:30:00,Cardio,42.0,325.8,148.4,3.0,Downtown,Cardio,2023-12-01,2023-12-01,Friday,19,7.757142857142857,2023-04-13,26.0,Female,Sharjah,Basic,175.2,80.9,Social Media,1,Female,Sharjah,1.7519999999999998,26.356049707053653,26-35,232
8,1,2023-11-14 07:45:00,CARDIO,61.0,526.4,136.9,4.0,Corniche,Cardio,2023-11-14,2023-11-01,Tuesday,7,8.62950819672131,2023-04-13,26.0,Female,Sharjah,Basic,175.2,80.9,Social Media,1,Female,Sharjah,1.7519999999999998,26.356049707053653,26-35,215
9,1,2023-10-12 17:45:00,Yoga,46.0,283.9,145.1,4.0,Yas Mall,Yoga,2023-10-12,2023-10-01,Thursday,17,6.171739130434782,2023-04-13,26.0,Female,Sharjah,Basic,175.2,80.9,Social Media,1,Female,Sharjah,1.7519999999999998,26.356049707053653,26-35,182
10,1,2023-05-01 11:45:00,Yoga,46.0,296.6,117.5,3.0,Marina Mall,Yoga,2023-05-01,2023-05-01,Monday,11,6.447826086956522,2023-04-13,26.0,Female,Sharjah,Basic,175.2,80.9,Social Media,1,Female,Sharjah,1.7519999999999998,26.356049707053653,26-35,18
