workout_id,member_id,workout_datetime,workout_type,duration_min,calories_burned,avg_heart_rate,satisfaction_rating,branch,workout_type_clean,workout_date,workout_month,day_of_week,hour_of_day,calories_per_min
1,1,2023-08-16 22:00:00,Cardio,79.0,665.1,127.8,5.0,Corniche,Cardio,2023-08-16,2023-08-01,Wednesday,22,8.418987341772151
2,1,2023-04-25 20:00:00,Strength,33.0,173.8,109.2,1.0,Marina Mall,Strength,2023-04-25,2023-04-01,Tuesday,20,5.266666666666667
3,1,2023-11-14 10:00:00,Cardio,59.0,538.1,109.1,2.0,Marina Mall,Cardio,2023-11-14,2023-11-01,Tuesday,10,9.120338983050848
4,1,2023-04-26 22:00:00,Cardio,57.0,446.4,105.0,2.0,Marina Mall,Cardio,2023-04-26,2023-04-01,Wednesday,22,7.8315789473684205
5,1,2023-09-13 19:45:00,Strength,27.0,181.3,143.0,5.0,Downtown,Strength,2023-09-13,2023-09-01,Wednesday,19,6.714814814814815
6,1,2023-12-31 19:15:00,Strength,64.0,437.7,102.8,3.0,Corniche,Strength,2023-12-31,2023-12-01,Sunday,19,6.8390625
7,1,2023-12-01 19:30:00,Cardio,42.0,325.8,148.4,3.0,Downtown,Cardio,2023-12-01,2023-12-01,Friday,19,7.757142857142857
8,1,2023-11-14 07:45:00,CARDIO,61.0,526.4,136.9,4.0,Corniche,Cardio,2023-11-14,2023-11-01,Tuesday,7,8.62950819672131
9,1,2023-10-12 17:45:00,Yoga,46.0,283.9,145.1,4.0,Yas Mall,Yoga,2023-10-12,2023-10-01,Thursday,17,6.171739130434782
10,1,2023-05-01 11:45:00,Yoga,46.0,296.6,117.5,3.0,Marina Mall,Yoga,2023-05-01,2023-05-01,Monday,11,6.447826086956522
11,1,2023-09-13 13:00:00,Yoga,38.0,192.2,131.1,5.0,Corniche,Yoga,2023-09-13,2023-09-01,Wednesday,13,5.057894736842105
12,1,2023-12-25 17:30:00,Strength,41.0,249.1,131.9,4.0,Corniche,Strength,2023-12-25,2023-12-01,Monday,17,6.075609756097561
13,1,2023-08-30 14:15:00,Strength,47.0,302.3,118.6,3.0,Corniche,Strength,2023-08-30,2023-08-01,Wednesday,14,6.431914893617021
14,2,2024-09-11 11:15:00,Cardio,54.0,431.79999999999995,155.6,1.0,Marina Mall,Cardio,2024-09-11,2024-09-01,Wednesday,11,7.996296296296295
15,2,2024-07-01 12:45:00,Strength,65.0,368.6,151.7,3.0,Corniche,Strength,2024-07-01,2024-07-01,Monday,12,5.670769230769231
16,2,2024-07-08 12:45:00,Class,52.0,363.6,110.6,3.0,Marina Mall,Class,2024-07-08,2024-07-01,Monday,12,6.992307692307692
17,2,2024-11-10 22:30:00,Yoga,72.0,434.4,120.3,2.0,Marina Mall,Yoga,2024-11-10,2024-11-01,Sunday,22,6.033333333333333
18,2,2024-05-23 21:00:00,Cardio,42.0,350.4,133.4,4.0,Yas Mall,Cardio,2024-05-23,2024-05-01,Thursday,21,8.342857142857142
19,2,2024-11-25 12:15:00,Yoga,48.0,304.5,115.4,3.0,Corniche,Yoga,2024-11-25,2024-11-01,Monday,12,6.34375
20,2,2024-06-14 08:30:00,Strength,69.0,413.5,131.9,3.0,Marina Mall,Strength,2024-06-14,2024-06-01,Friday,8,5.992753623188406
21,2,2024-10-03 21:15:00,Yoga,54.0,303.8,131.2,5.0,Marina Mall,Yoga,2024-10-03,2024-10-01,Thursday,21,5.625925925925926
22,2,2024-12-17 18:30:00,Class,42.0,292.7,141.6,5.0,Downtown,Class,2024-12-17,2024-12-01,Tuesday,18,6.969047619047619
23,2,2024-12-03 15:45:00,Class,33.0,177.0,136.8,3.0,Downtown,Class,2024-12-03,2024-12-01,Tuesday,15,5.363636363636363
24,2,2024-12-03 14:30:00,Cardio,64.0,493.8,114.4,3.0,Downtown,Cardio,2024-12-03,2024-12-01,Tuesday,14,7.715625
25,2,2024-11-23 22:15:00,Strength,51.0,306.1,128.3,5.0,Yas Mall,Strength,2024-11-23,2024-11-01,Saturday,22,6.001960784313726
26,2,2024-10-29 21:00:00,Yoga,49.0,273.4,133.7,5.0,Corniche,Yoga,2024-10-29,2024-10-01,Tuesday,21,5.579591836734694
27,2,2024-12-28 17:30:00,Cardio,42.0,270.4,147.9,2.0,Corniche,Cardio,2024-12-28,2024-12-01,Saturday,17,6.438095238095237
28,2,2024-11-18 12:00:00,Cardio,78.0,696.5,124.9,5.0,Yas Mall,Cardio,2024-11-18,2024-11-01,Monday,12,8.929487179487179
29,3,2024-09-11 10:15:00,Cardio,52.0,453.5,143.4,5.0,Corniche,Cardio,2024-09-11,2024-09-01,Wednesday,10,8.721153846153847
30,3,2024-07-08 19:30:00,Cardio,51.0,435.5,130.3,5.0,Marina Mall,Cardio,2024-07-08,2024-07-01,Monday,19,8.53921568627451
