workout_id,member_id,workout_datetime,workout_type,duration_min,calories_burned,avg_heart_rate,satisfaction_rating,branch
1,1,2023-08-16 22:00:00,Cardio,79.0,665.1,127.8,5.0,Corniche
2,1,2023-04-25 20:00:00,Strength,33.0,173.8,109.2,1.0,Marina Mall
3,1,2023-11-14 10:00:00,Cardio,59.0,538.1,109.1,2.0,Marina Mall
4,1,2023-04-26 22:00:00,Cardio,57.0,446.4,105.0,2.0,Marina Mall
5,1,2023-09-13 19:45:00,Strength,27.0,181.3,143.0,5.0,Downtown
6,1,2023-12-31 19:15:00,Strength,64.0,437.7,102.8,3.0,Corniche
7,1,2023-12-01 19:30:00,Cardio,42.0,325.8,148.4,3.0,Downtown
8,1,2023-11-14 07:45:00,CARDIO,61.0,526.4,136.9,4.0,Corniche
9,1,2023-10-12 17:45:00,Yoga,46.0,283.9,145.1,4.0,Yas Mall
10,1,2023-05-01 11:45:00,Yoga,46.0,296.6,117.5,3.0,Marina Mall
11,1,2023-09-13 13:00:00,Yoga,38.0,192.2,131.1,5.0,Corniche
12,1,2023-12-25 17:30:00,Strength,41.0,249.1,131.9,4.0,Corniche
13,1,2023-08-30 14:15:00,Strength,47.0,302.3,118.6,3.0,Corniche
14,2,2024-09-11 11:15:00,Cardio,0.0,-4.2,155.6,1.0,Marina Mall
15,2,2024-07-01 12:45:00,Strength,65.0,368.6,151.7,3.0,Corniche
16,2,2024-07-08 12:45:00,Class,52.0,363.6,110.6,3.0,Marina Mall
17,2,2024-11-10 22:30:00,Yoga,72.0,434.4,120.3,2.0,Marina Mall
18,2,2024-05-23 21:00:00,Cardio,42.0,350.4,133.4,4.0,Yas Mall
19,2,2024-11-25 12:15:00,Yoga,48.0,304.5,115.4,3.0,Corniche
20,2,2024-06-14 08:30:00,Strength,69.0,413.5,131.9,3.0,Marina Mall
21,2,2024-10-03 21:15:00,Yoga,54.0,303.8,131.2,5.0,Marina Mall
22,2,2024-12-17 18:30:00,Class,42.0,292.7,141.6,5.0,Downtown
